name,title
Mark E Tucker,Group Chairman
Noel Quinn,Group Chief Executive
Ewen Stevenson,Group Chief Financial Officer
"Laura Cha, GBM",Independent non-executive Director
Henri de Castries,Independent non-executive Director
James (Jamie) Forese,Independent non-executive Director
Steven Guggenheimer,Independent non-executive Director
Irene Lee,Independent non-executive Director
José Antonio Meade Kuribreña,Independent non-executive Director
Heidi Miller,Independent non-executive Director
Eileen Murray,Independent non-executive Director
David Nish,Senior independent non-executive Director
Jackson (Jack) Tai,Independent non-executive Director
Pauline van der Meer Mohr,Independent non-executive Director
Aileen Taylor,Group Company Secretary and Chief Governance Officer
