company,name,title
AstraZeneca,Leif Johansson,Non-Executive Chairman of the Board
AstraZeneca,Pascal Soriot,Executive Director and Chief Executive Officer
AstraZeneca,Marc Dunoyer,Executive Director and Chief Financial Officer
AstraZeneca,Graham Chipchase,Senior independent Non-Executive Director
AstraZeneca,Euan Ashley,Non-Executive Director
AstraZeneca,Geneviève Berger,Non-Executive Director
AstraZeneca,Philip Broadley,Non-Executive Director
AstraZeneca,Michel Demaré,Non-Executive Director
AstraZeneca,Deborah DiSanzo,Non-Executive Director
AstraZeneca,Diana Layfield,Non-Executive Director
AstraZeneca,Sheri McCoy,Non-Executive Director
AstraZeneca,Tony Mok,Non-Executive Director
AstraZeneca,Nazneen Rahman,Non-Executive Director
AstraZeneca,Marcus Wallenberg,Non-Executive Director
AstraZeneca,Pascal Soriot,Executive Director and CEO
AstraZeneca,Marc Dunoyer,Executive Director and CFO
AstraZeneca,Katarina Ageborg,"Executive Vice-President, Sustainability and Chief Compliance Officer; President AstraZeneca AB, Sweden"
AstraZeneca,José Baselga,"Executive Vice-President, Oncology R&D"
AstraZeneca,Pam Cheng,"Executive Vice-President, Operations and Information Technology"
AstraZeneca,Fiona Cicconi ,"Executive Vice-President, Human Resources"
AstraZeneca,Ruud Dobber,"Executive Vice-President, BioPharmaceuticals Business Unit"
AstraZeneca,David Fredrickson,"Executive Vice-President, Oncology Business Unit"
AstraZeneca,Menelas (Mene) Pangalos ,"Executive Vice-President, BioPharmaceuticals R&D"
AstraZeneca,Jeff Pott ,General Counsel
AstraZeneca,Iskra Reic,"Executive Vice-President, Europe and Canada"
AstraZeneca,Leon Wang,"Executive Vice-President, International"
