company,name,title,year
HSBC,Mark E Tucker,Group Chairman,2020
HSBC,Noel Quinn,Group Chief Executive,2020
HSBC,Ewen Stevenson,Group Chief Financial Officer,2020
HSBC,"Laura Cha, GBM",Independent non-executive Director,2020
HSBC,Henri de Castries,Independent non-executive Director,2020
HSBC,James (Jamie) Forese,Independent non-executive Director,2020
HSBC,Steven Guggenheimer,Independent non-executive Director,2020
HSBC,Irene Lee,Independent non-executive Director,2020
HSBC,José Antonio Meade Kuribreña,Independent non-executive Director,2020
HSBC,Heidi Miller,Independent non-executive Director,2020
HSBC,Eileen Murray,Independent non-executive Director,2020
HSBC,David Nish,Senior independent non-executive Director,2020
HSBC,Jackson (Jack) Tai,Independent non-executive Director,2020
HSBC,Pauline van der Meer Mohr,Independent non-executive Director,2020
HSBC,Aileen Taylor,Group Company Secretary and Chief Governance Officer,2020
HSBC,Mark E Tucker,Group Chairman,2018
HSBC,John M Flint ,Group Chief Executive,2018
HSBC,Iain Mackay,Group Finance Director,2018
HSBC,Kathleen Casey,"Independent non-executive Director, member of the Group Audit Committee and the Nomination & Corporate Governance Committee",2018
HSBC,"Laura Cha, GBM","Independent non-executive Director, member of the Nomination & Corporate Governance Committee and the Financial System Vulnerabilities Committee",2018
HSBC,Henri de Castries,"Independent non-executive Director, member of the Group Remuneration Committee and the Nomination & Corporate Governance Committee",2018
HSBC,Lord Evans of Weardale ,"Independent non-executive Director, Chairman of the Financial System Vulnerabilities Committee and member of the Nomination & Corporate Governance Committee",2018
HSBC,Irene Lee,"Independent non-executive Director, member of the Group Remuneration Committee and the Nomination & Corporate Governance Committee ",2018
HSBC,Heidi Miller,"Independent non-executive Director, member of the Group Risk Committee and the Nomination & Corporate Governance Committee",2018
HSBC,Marc Moses,Executive Director and Group Chief Risk Officer,2018
HSBC,David Nish,"Independent non-executive Director, member of the Group Audit Committee, the Group Remuneration Committee and the Nomination & Corporate Governance Committee",2018
HSBC,"Jonathan Symonds, CBE","Deputy Group Chairman and Senior independent non-executive Director, Chairman of the Group Audit Committee and member of the Group Risk Committee and the Nomination & Corporate Governance Committee",2018
HSBC,Jackson (Jack) Tai,"Independent non-executive Director, Chairman of the Group Risk Committee, member of the Financial System Vulnerabilities Committee and the Nomination & Corporate Governance Committee",2018
HSBC,Pauline van der Meer Mohr,"Independent non-executive Director, Chairman of the Group Remuneration Committee, member of the Group Risk Committee and the Nomination & Corporate Governance Committee",2018
HSBC,Ben Mathews,Group Company Secretary,2018
HSBC,Elaine Arden,Group Head of Human Resources,2018
HSBC,Samir Assaf,"Chief Executive, Global Banking and Markets",2018
HSBC,Colin Bell,Group Head of Financial Crime Risk,2018
HSBC,Peter Boyles,"Chief Executive, Global Private Banking",2018
HSBC,Patrick J Burke,"President and Chief Executive Officer, HSBC USA",2018
HSBC,Pierre Goad,Group Head of Communications,2018
HSBC,Pam Kaur,Group Head of Internal Audit,2018
HSBC,Stuart Levey ,Chief Legal Officer ,2018
HSBC,Andy Maguire,Group Chief Operating Officer,2018
HSBC,Paulo Maia,"Chief Executive, Latin America, HSBC and Executive Chairman, HSBC Mexico",2018
HSBC,Charlie Nunn,"Chief Executive, Retail Banking and Wealth Management",2018
HSBC,Noel Quinn,"Chief Executive, Global Commercial Banking",2018
HSBC,Antonio Simoes,"Chief Executive Designate, Global Private Banking",2018
HSBC,Ian Stuart,"CEO, HSBC UK Bank plc",2018
HSBC,Peter Wong,"Deputy Chairman and Chief Executive, The Hongkong and Shanghai Banking Corporation Limited",2018
