Leif Johansson,Non-Executive Chairman of the Board
Pascal Soriot,Executive Director and Chief Executive Officer
Marc Dunoyer,Executive Director and Chief Financial Officer
Graham Chipchase,Senior independent Non-Executive Director
Euan Ashley,Non-Executive Director
Geneviève Berger,Non-Executive Director
Philip Broadley,Non-Executive Director
Michel Demaré,Non-Executive Director
Deborah DiSanzo,Non-Executive Director
Diana Layfield,Non-Executive Director
Sheri McCoy,Non-Executive Director
Tony Mok,Non-Executive Director
Nazneen Rahman,Non-Executive Director
Marcus Wallenberg,Non-Executive Director
Pascal Soriot,Executive Director and CEO
Marc Dunoyer,Executive Director and CFO
Katarina Ageborg,Executive Vice-President, Sustainability and Chief Compliance Officer; President AstraZeneca AB, Sweden
José Baselga,Executive Vice-President, Oncology R&D
Pam Cheng,Executive Vice-President, Operations and Information Technology
Fiona Cicconi ,Executive Vice-President, Human Resources
Ruud Dobber,Executive Vice-President, BioPharmaceuticals Business Unit
David Fredrickson,Executive Vice-President, Oncology Business Unit
Menelas (Mene) Pangalos ,Executive Vice-President, BioPharmaceuticals R&D
Jeff Pott ,General Counsel
Iskra Reic,Executive Vice-President, Europe and Canada
Leon Wang,Executive Vice-President, International
